Gold Standard ID,Language,X,text,user_name,user_id,label,English translations
gs1,Kiswahili,55,#KenyaKwanza,Job Too Cheluget 4 Governor Uasin Gishu,296113290,hateful,#KenyaFirst
gs2,Kiswahili,8752,@HassanAliJoho WAtoto Mombasa wamekushinda eastern ndio hutaweza.buree kabisa🚮🚮🚮,Sammy,1321324268425302016,hateful,@HassanAliJoho The Mombasa children have conquered the east so you will not be able to. completely free 🚮🚮🚮
gs3,Kiswahili,2512,Rudi nyumbani dada mwajuma 🤣🤣🤣🤣 @HonKangata,Hon.Tandasa MCA,777919170440724480,hateful,Back home sister week 🤣🤣🤣🤣 @HonKangata
gs4,Kiswahili,9684,Wanalipa watu kumobilize zii Kakamega ni Azimio ama mnataka protest yaTrans nzoia,George Wawire,818541313528250368,hateful,They are paying people to work hard. Kakamega is a Resolution or you want the Trans nzoia protest
gs5,Kiswahili,222,"@MoiGideon Yaani Mheshimiwa wewe imeonekana u side na mwarabu, rudi Senegal bana",Ken J,886141692528783360,hateful,"@MoiGideon Namely Sir you proved u side with an Arab, go back to Senegal bana"
gs6,Kiswahili,119,#KenyaKwanza hadi Mwisho.,HON ROY STEPHEN.,1252200992319381504,hateful,#KenyaFirst to End.
gs7,Kiswahili,1135,@susankihika Pambana na hali yako wewe mwanamke,Njoki Ngugi,849638352072658945,hateful,@susankihika Fight your situation you woman
gs8,Kiswahili,2666,@UDAKenya Rudisheni mulizo iba kwanza tafadhali,thekoinkolekta,1379360848653774849,hateful,@UDAKenya Return your first request please
gs9,Kiswahili,4671,@ledamalekina Wee maasai uza dawa ya kienyeji,CPA Rono,869940612,hateful,@ledamalekina Wee maasai sell traditional medicine
gs10,Kiswahili,1902,@MikeSonko Naskia hii ingekua Bamburi ungeua kenge.,Zoh Zoh,804172255,hateful,@MikeSonko This Naskia would grow Bamburi would kill a swindler.
gs11,Kiswahili,3814,@MikeSonko Kwani huko mua ulikosa mahali pa kujenga ukambani? Bure kabisa,Anwar Ali,1435436692257873926,hateful,
gs12,Kiswahili,3744,@ledamalekina Russia is not Kenya wewe Maasai,Kimathi Mwirichia,475890264,hateful,
gs13,Kiswahili,4762,@MillicentOmanga Kwani ni wangapi na tazama kabila zao? UDA iko na wenyewe. Wewe zungusha tuu kiuno utashangaa.,Jones Agandi,1405232995536150528,hateful,
gs14,Kiswahili,3750,@ledamalekina Uhuru aingie ground Mt Kenya alete hii ujinga alafu Wananchi waamue!,Jœ🇰🇪,138843430,hateful,
gs15,Kiswahili,6103,"@NahashonKimemia We kama unataka sabina DM her wacha umama, you're behaving like a gay idiot.",Kisia 🇰🇪,833268486432497665,hateful,
gs16,Kiswahili,3575,"@mamangilu @RailaOdinga @makaumutua Wewe Sasa unasema nini kweli? Jenga madaraja uokoe watu wako Kwanza.
🤧🤧🤧",Ali Ibrahim,2427487090,hateful,
gs17,Kiswahili,436,@Cleophasmalala @RailaOdinga Wewe Malala ni njaa tu inakusumbua...nyamanza na ukule pole pole..,Eng.James Mutuku,582812797,hateful,
gs18,Kiswahili,4285,@ledamalekina Kwani wewe hujachoka? Basi tutawachilia uendelee kuskuma Mzee wa vitendawili pekee yako,Laban Kitele Jr,1309380208567476229,hateful,
gs19,Kiswahili,6814,@ledamalekina Masai ni Masai Tu this is Kenya not communist Russia,Ken Mwangii,1437140084000796672,hateful,
gs20,Kiswahili,298,@Cleophasmalala Kakamega tuko azimio wewe omondi rudi uko alego,Voke vin,1488960033320845312,hateful,
gs21,Kiswahili,1869,"@WanjiruWahome10 @KoechNelsonK Unakaa tu io shimo kubwa kwa mapaja yako, kazi na campaigns ni tofauti , wewe umetok… https://t.co/zJOzbalorp",kamagut 2022 express,1256607665406595072,hateful,
gs22,Kiswahili,9125,@ledamalekina @husternated @RailaOdinga Azimio moles with a taxpayers ya wakenya alf mnajifanya ety nyinyi ni weupe bure thiefs of kemsa...,Dismas,1487519805531955200,hateful,
gs23,Kiswahili,1951,@orengo_james UDA wataangushwa vile Egypt waliangushwa na kiburi yao.,Alvin,1199027099752968192,hateful,
gs24,Kiswahili,1206,"#Tumechoka nao... wakuje kwa debe, Kenyans are tayad",Jennie M.⚜️,1218810146463387648,hateful,
gs25,Kiswahili,7109,RT @winjila: @HassanAliJoho is in Trans Nzoia fighting #KenyaKwanza yet sewage zinajaa kwa bahari na ku threaten lives zetu hapa Old Town M…,MKENYA,1069328073957523458,hateful,
gs26,Kiswahili,5400,@MillicentOmanga jaluos wanaongea mbayaaa hahaaha wacha mtombwe 2022,Inspector noriega,903318282,hateful,
gs27,Kiswahili,9729,@NahashonKimemia Are you a woman za wanawake wachia wanawake.,Mynah Senior Citizen,789219058289876994,hateful,
gs28,Kiswahili,486,"@Cleophasmalala @RailaOdinga Ruto Tawe! 
Itabidi tumeshare kiburi na wajaluo this time",Aaron Musira,1132605776063881216,hateful,
gs29,Kiswahili,1516,@AnneWaiguru Kazi ni Kizi,Steve Gichure,1083096201967423491,hateful,
gs30,Kiswahili,3828,"@mudfishKenya @ledamalekina Maybe wewe uwe mjinga uharibu nchi yako.
WE CHOOSE NO VIOLENCE💪",⚠™🆆🅴🅱🆂™⚠,772440006333984768,hateful,
gs31,Kiswahili,4957,@AfricanahQueen1 @OleItumbi @HusseinMohamedg @UDAKenya @WilliamsRuto Ati tuwaondoe kwa fuliza🤣🤣🤣🤣 aki politicians,Odih Odinare,837149017188466689,hateful,
gs32,Kiswahili,3740,"@ledamalekina Wee ni maasai kweli, mwili kubwa akili kidogo",Barmalel,1487363264694657024,hateful,
gs33,Kiswahili,10570,@UDAKenya anacopy joho jana 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,changz,1127783210,hateful,
gs34,Kiswahili,8466,@ledamalekina @RailaOdinga Na akishidwo na Wanjigi nominations,Ray Branson,517809888,hateful,
gs35,Kiswahili,4445,@ledamalekina Yes! With shenzishanigans! 🤣😲 #KenyaKwanza #Kenya,DBN 2022 CountDown!🇰🇪,71543127,hateful,
gs36,Kiswahili,5020,@ledamalekina Shida ya Masai kama huyu even akiwa tao bado anatembea na kisu as if kuna lions karibu,DNB DENO,441742020,hateful,
