,Gold Standard ID,Text,Label
,gs226,@OdmReloaded @HassanAliJoho Useless gay/drug dealer,hate
,gs232,"@MoiGideon @skmusyoka How can you support those racial arabs, come on",hate
,gs235," @makaumutua Have never seen a disgraceful, disrespectful and silly woman like you… https://t.co/mC4O3WekKW",hate
,gs237,@MillicentOmanga Coz she's the new whore on the block. Wait until they confirm how mtaro the whore is,hate
,gs239,@kiptepkowong @nathanrobe @orengo_james Only UDA idiots are mentality disabled! They reason just like Church Murderers in Kiambaa!,hate
,gs241,@HNalukada @Cleophasmalala @RailaOdinga There is nothing like independent thinking.Just accept that Luhyas are fool… https://t.co/4cIESL8TzB,hate
,gs243,@HassanAliJoho I thought it was a political rally.... because it was all about Ruto and how you gays are so bitter about him.,hate
,gs251,"@HEAnneKananu 😂😂😂 because you are a woman, Nairobi we need brave men,women can never lead an Amy of troops @SakajaJohnson is our next.",hate
,gs254,@Aaroncheruiyot You're true definition of a Kalejinga. No wonder your people are still living in the forest and engaging in Bandits attacks.,hate
,gs275,@UDAKenya That's expected. A new whore on the block n  everyone wants to sleep with her not knowing what she is. Only time will,hate
,gs287,@ledamalekina This tribal Maasai will be castrated soon enough,hate
,gs201,@johnnjenga @BUANTAI004 @ShaffieWeru @mithika_Linturi @SABINACHEGE @KameneGoro sick feminized society is where we are at currently,hate
,gs203,@johnnjenga @ShaffieWeru @mithika_Linturi @SABINACHEGE @KameneGoro Our society has been turned to be antimen and proStupid women,hate
,gs206,@kipmurkomen We all want to but these Arabs are usually mad when they get to the finals,hate
,gs211,"@MillicentOmanga A true Pan Africanist, and believer of our continent must support Senegal not those Arabs 
Africa Must Rise",hate
,gs212,"@susankihika A true Pan Africanist, and believer of our continent must support Senegal not those Arabs 
Africa Must Rise",hate
,gs215,@MoiGideon @Najmmer Arabs have zero respect for 'non-arab Africans. Racist to their breath. Congratulations Senegal!,hate
,gs220,"@MoiGideon I beg to differ mhesh, let's support Africans, not the Arabs.",hate
,gs221,"@MoiGideon @skmusyoka You support Arabs leaving your fellow blacks? Charity starts at home Giddy, think twice.",hate
,gs15,"@NahashonKimemia We kama unataka sabina DM her wacha umama, you're behaving like a gay idiot.",hate
,gs210,`@Aaroncheruiyot Don't be stupid all the time. Must you drag Raila's name in everything. You are too petty like a woman,hate
,gs214,@MWNjoroge @mamangilu @RailaOdinga @makaumutua She's most corrupt female species to ever Exist.,hate
,gs233,@gladyswanga The Cows will certainly elect a violent woman!,not hate
,gs234,"@ledamalekina Forget about the Russian, they are on another level,,,
Hundle petty petty issues first",not hate
,gs271,@Hon_FatumaGedi Buana our people are being killed mercelessly by the Somali based terrorist group while you here ch… https://t.co/NdfeQcIzX5,not hate
,gs285,@ledamalekina I did not know you are this stupid yet your hatred for Kikuyus is unparalleled,not hate
,gs291,@MoiGideon Egypt! They don't consider themselves as Africans!  I'm glad they lost the finals.,not hate
,gs292,"@NahashonKimemia UDA is full of immoral parasites-(why)-. On one hand, their presidential candidate boast of how ju… https://t.co/Dw5IHF15uD",not hate
,gs293,"The face of Kenya, 🗿",not hate
,gs202,How many Kikuyu spokesmen do we need in Mt. Kenya? Ugh!!!,not hate
,gs204,Today’s “vijana” are the smartest but the laziest of all time-they want to be paid for littler or no work!,not hate
,gs205,"In Azimio we only have two women, @gladyswanga and @SABINACHEGE. The rest are jokers and cowards like Miguna Miguna",not hate
,gs207,"Omwami as we respect your right, we shall reject her at the ballot. We can't afford another AKUBA",not hate
,gs208,@AllanObare4 @anc_party Sir take note that this is Kenya. Talent or academic intelligence doesn't matter. Everything is rotten to the core.,not hate
,gs213,"If he does it ,I will live to respect him  because at the moment he is a black sheep in mulembe house",not hate
,gs294,"@ChineseRotich @UDAKenya UDA is full of immoral parasites-(why)-. On one hand, their presidential candidate boast o… https://t.co/O83xsoB7Me",not hate
,gs295,@anc_party Ready to see thieves in Trans Nzoia,not hate
,gs296,"@kipmurkomen UDA is full of immoral parasites-(why)-. On one hand, their presidential candidate boast of how jubile… https://t.co/KVr9AqyGyW",not hate
,gs297,@ShiiWanjiru6 @SpeakerJBMuturi Stop arguing like a mugokha addicted fellow,not hate
,gs300,"@Cleophasmalala Some of you you will also go home😂 be careful 
Kenyans moodswing",not hate
